,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,type
ABCD3,0.05475327,0.0,0.06508512,0.0,0.0,0.0,0.06218629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03912879,0.0,0.0,0.0,0.0,0.0,0.014891771,0.0,0.08588803,0.0,0.0,0.0,0.0,0.0,0.3214658,0.35660052,0.0,0.33744654,0.36084533,0.20047788,0.0,0.2372992,0.0,0.0,0.0,0.14102294,0.0,0.33042073,0.0,0.0,0.0,0.2040913,0.038903832,0.0628195,0.0,0.21014008,0.2504895,0.0,0.3544024,0.0,0.0,0.0,0.0,0
ABCD4,0.33756763,0.0,0.14631039,0.049892206,0.0,0.0,0.13504979,0.0,0.0,0.0,0.0,0.088424176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13945468,0.0,0.13259636,0.0,0.19053295,0.0,0.14680459,0.0,0.1599615,0.0,0.056481425,0.07796785,0.0,0.0,0.0,0.0,0.33521476,0.3114532,0.0,0.2659256,0.2927387,0.26199645,0.0,0.17106423,0.0,0.0,0.0,0.10490835,0.0,0.2845284,0.0,0.0,0.0,0.105347954,0.0,0.070952654,0.0,0.14205071,0.20661724,0.0,0.2677703,0.0,0.0,0.0,0.0,0
ABCE1,0.3459517,0.0,0.05569776,0.16944042,0.0,0.0,0.16548844,0.0,0.0,0.0,0.0,0.14040501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09192586,0.0,0.16237715,0.0,0.09180656,0.0,0.11685203,0.0,0.175753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34165338,0.30675223,0.0,0.26669806,0.29087633,0.2667058,0.0,0.16804421,0.0,0.0,0.0,0.11185083,0.0,0.2881999,0.0,0.0,0.0,0.110790186,0.0,0.061803207,0.0,0.14496642,0.21000293,0.0,0.26627862,0.0,0.0,0.0,0.0,0
ABCF1,0.29756522,0.0,0.16016866,0.07576187,0.0,0.0,0.2644533,0.0,0.0,0.0,0.0,0.113222934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029798064,0.0,0.12046128,0.0,0.06848818,0.0,0.11143921,0.0,0.2262267,0.0,0.0,0.025921354,0.0,0.0,0.0,0.0,0.33614472,0.30646154,0.0,0.26977682,0.2907884,0.25143114,0.0,0.17634235,0.0,0.0,0.0,0.12740596,0.0,0.28097197,0.0,0.0,0.0,0.123994805,0.0,0.047924194,0.0,0.15228547,0.21505634,0.0,0.2685046,0.0,0.0,0.0,0.0,0
ABCF2,0.32550254,0.0,0.059983335,0.13681848,0.0,0.0,0.19917497,0.0,0.0,0.0,0.0,0.09569879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12698126,0.0,0.13770664,0.0,0.16419394,0.0,0.20047876,0.0,0.21112074,0.0,0.0,0.16375871,0.0,0.0,0.0,0.0,0.31995925,0.29697317,0.0,0.2570266,0.2762838,0.24889144,0.0,0.16686323,0.0,0.0,0.0,0.10490987,0.0,0.2728128,0.0,0.0,0.0,0.11383469,0.0,0.060606454,0.0,0.13867728,0.19864608,0.0,0.25644794,0.0,0.0,0.0,0.0,0
ABCF3,0.26036403,0.0,0.31452334,0.0,0.0,0.0,0.116105944,0.0,0.0,0.0,0.0,0.16794482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15089168,0.0,0.023589198,0.0,0.16891894,0.0,0.10218286,0.0,0.18493965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3347254,0.30719623,0.0,0.26535115,0.28894314,0.25681925,0.0,0.16558628,0.0,0.0,0.0,0.11056814,0.0,0.2779571,0.0,0.0,0.0,0.1078322,0.0,0.06815287,0.0,0.14159651,0.20725463,0.0,0.26953667,0.0,0.0,0.0,0.0,0
ABCG1,0.28002834,0.0,0.2793126,0.0,0.0,0.0,0.19319744,0.0,0.0,0.0,0.0,0.07015724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13943358,0.0,0.03756655,0.0,0.2071892,0.0,0.085898615,0.0,0.16490436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3381734,0.307819,0.0,0.2637467,0.28654233,0.26001692,0.0,0.17189085,0.0,0.0,0.0,0.11089417,0.0,0.28588527,0.0,0.0,0.0,0.11302525,0.0,0.061733548,0.0,0.14262144,0.20899929,0.0,0.26532215,0.0,0.0,0.0,0.0,0
ABCG2,0.36373317,0.0,0.20652348,0.029943518,0.0,0.0,0.1761573,0.0,0.0,0.0,0.0,0.0876304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12004096,0.0,0.06026827,0.0,0.1596487,0.0,0.16882184,0.0,0.17126723,0.0,0.0,0.04136006,0.0,0.0,0.0,0.0,0.33253878,0.3064126,0.0,0.2568717,0.28643325,0.26074612,0.0,0.16132407,0.0,0.0,0.0,0.103307955,0.0,0.2822668,0.0,0.0,0.0,0.09740336,0.0,0.07007119,0.0,0.14110133,0.20485139,0.0,0.263126,0.0,0.0,0.0,0.0,0
ABHD10,0.31155196,0.0,0.12900124,0.10028824,0.0,0.0,0.16293862,0.0,0.0,0.0,0.0,0.14459886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10475561,0.0,0.11514819,0.0,0.11191781,0.0,0.17156747,0.0,0.14272115,0.0,0.0,0.07417527,0.0,0.0,0.0,0.0,0.34087774,0.31610733,0.0,0.27778798,0.2959948,0.25925693,0.0,0.17378888,0.0,0.0,0.0,0.11514912,0.0,0.28773704,0.0,0.0,0.0,0.12291302,0.0,0.06389906,0.0,0.14626499,0.2088855,0.0,0.27951193,0.0,0.0,0.0,0.0,0
ABHD11,0.31097078,0.0,0.17444955,0.0,0.0,0.0,0.1775826,0.0,0.0,0.0,0.0,0.1146679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13022931,0.0,0.04973532,0.0,0.24841174,0.0,0.12762415,0.0,0.19980055,0.0,0.035728663,0.09701366,0.0,0.0,0.0,0.0006227512,0.32883123,0.30880272,0.0,0.25603643,0.28702667,0.26370832,0.0,0.16682868,0.0,0.0,0.0,0.09421461,0.0,0.2833187,0.0,0.0,0.0,0.10086457,0.0,0.07972065,0.0,0.13264738,0.20083402,0.0,0.26026016,0.0,0.0,0.0,0.0,0
